time,action
378.0,RUNNING
378.4,RUNNING
378.8,RUNNING
379.2,RUNNING
379.6,RUNNING
380.0,RUNNING
380.4,RUNNING
380.8,RUNNING
381.2,RUNNING
381.6,RUNNING
382.0,RUNNING
382.4,WARNING
382.8,WARNING
383.2,WARNING
383.6,WARNING
384.0,WARNING
384.4,WARNING
384.8,WARNING
385.2,WARNING
385.6,WARNING
386.0,STOP SYSTEM
386.4,WARNING
386.8,WARNING
387.2,STOP SYSTEM
387.6,WARNING
388.0,RUNNING
388.4,WARNING
388.8,WARNING
389.2,RUNNING
389.6,WARNING
390.0,RUNNING
390.4,RUNNING
390.8,RUNNING
391.2,WARNING
391.6,WARNING
392.0,WARNING
392.4,WARNING
392.8,WARNING
393.2,WARNING
393.6,WARNING
394.0,WARNING
394.4,WARNING
394.8,WARNING
395.2,WARNING
395.6,RUNNING
396.0,RUNNING
396.4,RUNNING
396.8,RUNNING
397.2,RUNNING
397.6,RUNNING
398.0,RUNNING
398.4,RUNNING
398.8,RUNNING
399.2,RUNNING
399.6,WARNING
400.0,WARNING
400.4,WARNING
400.8,WARNING
401.2,WARNING
401.6,WARNING
402.0,WARNING
402.4,WARNING
402.8,WARNING
403.2,WARNING
403.6,STOP SYSTEM
404.0,RUNNING
404.4,RUNNING
404.8,RUNNING
405.2,RUNNING
405.6,RUNNING
406.0,RUNNING
406.4,RUNNING
406.8,RUNNING
407.2,RUNNING
407.6,WARNING
408.0,RUNNING
408.4,WARNING
408.8,WARNING
409.2,WARNING
409.6,WARNING
410.0,WARNING
410.4,WARNING
410.8,WARNING
411.2,WARNING
411.6,WARNING
412.0,WARNING
412.4,WARNING
412.8,WARNING
413.2,STOP SYSTEM
413.6,WARNING
414.0,STOP SYSTEM
414.4,WARNING
414.8,WARNING
415.2,STOP SYSTEM
415.6,RUNNING
416.0,RUNNING
416.4,RUNNING
416.8,RUNNING
417.2,RUNNING
417.6,RUNNING
418.0,WARNING
418.4,WARNING
418.8,WARNING
419.2,WARNING
419.6,WARNING
420.0,WARNING
420.4,WARNING
420.8,WARNING
421.2,WARNING
421.6,WARNING
422.0,RUNNING
422.4,RUNNING
422.8,RUNNING
423.2,RUNNING
423.6,RUNNING
424.0,RUNNING
424.4,RUNNING
424.8,RUNNING
425.2,RUNNING
425.6,RUNNING
426.0,RUNNING
426.4,WARNING
426.8,WARNING
427.2,WARNING
427.6,WARNING
428.0,WARNING
428.4,WARNING
428.8,WARNING
429.2,WARNING
429.6,STOP SYSTEM
430.0,WARNING
430.4,WARNING
430.8,WARNING
